pid,task,Order,self,other
1,Enjoy,Self First,100,100
2,WTP,Self First,37.5,30
3,Enjoy,Other First,95,90
4,Enjoy,Other First,91,90
5,Enjoy,Self First,30,80
6,WTP,Other First,19.975,24.975
7,Enjoy,Self First,100,99
8,Enjoy,Self First,98,95
9,Enjoy,Other First,92,92
10,WTP,Other First,17.5,25
11,WTP,Self First,50,62.5
12,WTP,Self First,25,30
13,WTP,Self First,12.5,50
14,Enjoy,Self First,98,85
15,Enjoy,Other First,100,100
16,WTP,Other First,90,90
17,Enjoy,Other First,96,91
18,Enjoy,Self First,81,91
19,WTP,Other First,50,50
20,Enjoy,Self First,10,10
21,WTP,Other First,15,25
22,WTP,Other First,30,25
23,Enjoy,Self First,100,76
24,WTP,Other First,50,50
25,WTP,Other First,12.5,25
26,WTP,Other First,25,25
27,WTP,Self First,20,25
28,Enjoy,Other First,100,100
29,WTP,Self First,25,25
30,Enjoy,Self First,37,50
31,Enjoy,Self First,50,50
32,WTP,Self First,50,37.5
33,WTP,Self First,25,30
34,Enjoy,Other First,63,61
35,Enjoy,Other First,90,81
36,Enjoy,Self First,72,100
37,WTP,Other First,11.25,15
38,WTP,Other First,12.5,20
39,Enjoy,Other First,99,79
40,Enjoy,Other First,54,73
41,Enjoy,Self First,55,70
42,Enjoy,Self First,91,99
43,WTP,Self First,32.5,32.5
44,Enjoy,Other First,100,99
45,WTP,Other First,17.5,30
46,WTP,Other First,0,12.5
47,Enjoy,Other First,90,100
48,Enjoy,Other First,100,92
49,Enjoy,Self First,100,100
50,WTP,Other First,25,50
51,Enjoy,Other First,82,84
52,WTP,Other First,25,25
53,WTP,Self First,30,30
54,Enjoy,Self First,100,100
55,WTP,Other First,25,25
56,Enjoy,Self First,100,99
57,Enjoy,Self First,34,72
58,WTP,Other First,15,17.5
58,WTP,Other First,15,17.5
59,Enjoy,Self First,1,81
60,WTP,Other First,30,25
61,WTP,Self First,15,15
62,Enjoy,Self First,83,93
63,WTP,Other First,12.5,25
64,WTP,Self First,19.975,25
65,WTP,Other First,30,25
66,Enjoy,Self First,100,100
67,WTP,Self First,37.5,49.974999999999994
68,WTP,Other First,25,37.5
69,Enjoy,Self First,100,70
70,Enjoy,Other First,68,69
71,Enjoy,Other First,89,80
72,WTP,Other First,50,22.5
73,WTP,Self First,20,17.5
74,WTP,Self First,30,30
75,Enjoy,Self First,68,67
76,Enjoy,Other First,91,75
77,WTP,Other First,37.5,37.5
78,WTP,Other First,37.5,75
79,Enjoy,Self First,65,75
80,Enjoy,Other First,75,99
